group,layer,opponent,n_inputs,mean_logp_margin
F01,0,C1,16,0.0
F01,1,C1,16,-0.032596588134765625
F01,2,C1,16,0.0693359375
F01,3,C1,16,0.16552734375
F01,4,C1,16,-0.0119171142578125
F01,5,C1,16,0.173095703125
F01,6,C1,16,0.13671875
F01,7,C1,16,0.26953125
F01,8,C1,16,0.47900390625
F01,9,C1,16,1.052490234375
F01,10,C1,16,0.01862335205078125
F01,11,C1,16,0.31152331829071045
F01,12,C1,16,-0.05853271484375
F01,13,C1,16,-0.32861387729644775
F01,14,C1,16,0.08203119039535522
F01,15,C1,16,0.671875
F01,16,C1,16,0.1679685115814209
F01,17,C1,16,2.0767822861671448
F01,18,C1,16,1.069580078125
F01,19,C1,16,0.4671018719673157
F01,20,C1,16,1.6476133465766907
F01,21,C1,16,1.804199457168579
F01,22,C1,16,2.213866949081421
F01,23,C1,16,4.885742247104645
F01,24,C1,16,7.609374992549419
F01,25,C1,16,11.50390625
F01,26,C1,16,10.6328125
F01,27,C1,16,10.31640625
F01,28,C1,16,9.94140625
F01,29,C1,16,11.24218750372529
F01,30,C1,16,7.101562514901161
F01,31,C1,16,7.11718750372529
F01,32,C1,16,2.8359375037252903
F02,0,C1,16,0.0
F02,1,C1,16,0.03076171875
F02,2,C1,16,-0.009033203125
F02,3,C1,16,0.128631591796875
F02,4,C1,16,0.038330078125
F02,5,C1,16,0.227783203125
F02,6,C1,16,-0.05277252197265625
F02,7,C1,16,-0.2635495662689209
F02,8,C1,16,-0.0537109375
F02,9,C1,16,-0.2581672668457031
F02,10,C1,16,-0.7646787166595459
F02,11,C1,16,-0.34649622440338135
F02,12,C1,16,-0.4052734375
F02,13,C1,16,-0.0058602094650268555
F02,14,C1,16,0.9301760196685791
F02,15,C1,16,1.3585205078125
F02,16,C1,16,0.7468265295028687
F02,17,C1,16,1.3091888427734375
F02,18,C1,16,1.873016357421875
F02,19,C1,16,1.3214722275733948
F02,20,C1,16,1.53271484375
F02,21,C1,16,1.6186524629592896
F02,22,C1,16,2.2734376192092896
F02,23,C1,16,4.0273436307907104
F02,24,C1,16,7.1953125
F02,25,C1,16,7.06640625
F02,26,C1,16,6.4140625
F02,27,C1,16,6.375000029802322
F02,28,C1,16,6.0859375
F02,29,C1,16,8.15625
F02,30,C1,16,6.60156250372529
F02,31,C1,16,5.4375
F02,32,C1,16,2.0703124962747097
F03,0,C1,16,0.0
F03,1,C1,16,-0.04443359375
F03,2,C1,16,-0.2275390625
F03,3,C1,16,-0.256591796875
F03,4,C1,16,-0.4219226837158203
F03,5,C1,16,-0.7197265625
F03,6,C1,16,-0.5230255126953125
F03,7,C1,16,-0.6974332332611084
F03,8,C1,16,0.033447265625
F03,9,C1,16,0.55224609375
F03,10,C1,16,-0.2373044490814209
F03,11,C1,16,-0.322265625
F03,12,C1,16,-0.70703125
F03,13,C1,16,-0.3619387149810791
F03,14,C1,16,-1.1274418830871582
F03,15,C1,16,-0.4638671875
F03,16,C1,16,-0.22021484375
F03,17,C1,16,-0.18658441305160522
F03,18,C1,16,-0.21917718648910522
F03,19,C1,16,-0.3818359971046448
F03,20,C1,16,-0.1575927734375
F03,21,C1,16,0.554107666015625
F03,22,C1,16,1.044921875
F03,23,C1,16,3.7109375596046448
F03,24,C1,16,5.4140625
F03,25,C1,16,5.5390625
F03,26,C1,16,8.42578125
F03,27,C1,16,9.4375
F03,28,C1,16,11.30078125
F03,29,C1,16,10.60156249627471
F03,30,C1,16,7.07812500372529
F03,31,C1,16,4.749999977648258
F03,32,C1,16,2.3203124925494194
F04,0,C1,16,0.0
F04,1,C1,16,0.03076171875
F04,2,C1,16,0.12957763671875
F04,3,C1,16,0.03369140625
F04,4,C1,16,0.0771484375
F04,5,C1,16,-0.025390684604644775
F04,6,C1,16,0.046234071254730225
F04,7,C1,16,0.275390625
F04,8,C1,16,-0.09027099609375
F04,9,C1,16,-0.66259765625
F04,10,C1,16,-0.48950183391571045
F04,11,C1,16,-0.12329089641571045
F04,12,C1,16,-0.241943359375
F04,13,C1,16,-0.6923826932907104
F04,14,C1,16,-0.5175784826278687
F04,15,C1,16,-0.3642578125
F04,16,C1,16,-1.702636957168579
F04,17,C1,16,0.20262151956558228
F04,18,C1,16,0.9391364455223083
F04,19,C1,16,0.3876953125
F04,20,C1,16,1.17626953125
F04,21,C1,16,1.4267578721046448
F04,22,C1,16,1.654296875
F04,23,C1,16,3.31640625
F04,24,C1,16,4.664062485098839
F04,25,C1,16,5.171875
F04,26,C1,16,5.796875
F04,27,C1,16,5.40625
F04,28,C1,16,5.7734375
F04,29,C1,16,6.09375
F04,30,C1,16,5.65625
F04,31,C1,16,5.2734375
F04,32,C1,16,1.7890624981373549
F05,0,C1,16,0.0
F05,1,C1,16,0.029296875
F05,2,C1,16,0.16552734375
F05,3,C1,16,0.2381877899169922
F05,4,C1,16,0.23249053955078125
F05,5,C1,16,-0.152801513671875
F05,6,C1,16,0.26348876953125
F05,7,C1,16,-0.3339843153953552
F05,8,C1,16,-0.154296875
F05,9,C1,16,0.869873046875
F05,10,C1,16,-0.023924946784973145
F05,11,C1,16,0.8465425968170166
F05,12,C1,16,1.1655882000923157
F05,13,C1,16,0.8453370332717896
F05,14,C1,16,0.33416748046875
F05,15,C1,16,0.86083984375
F05,16,C1,16,1.6888427734375
F05,17,C1,16,2.0830077528953552
F05,18,C1,16,1.1757812798023224
F05,19,C1,16,0.6308594048023224
F05,20,C1,16,1.1152342855930328
F05,21,C1,16,0.6367187201976776
F05,22,C1,16,1.7265625
F05,23,C1,16,4.953125014901161
F05,24,C1,16,9.078125
F05,25,C1,16,10.3046875
F05,26,C1,16,10.05078125
F05,27,C1,16,11.82812499254942
F05,28,C1,16,11.32421875372529
F05,29,C1,16,9.75
F05,30,C1,16,8.3046875
F05,31,C1,16,8.46874999254942
F05,32,C1,16,2.515625
F06,0,C1,16,0.0
F06,1,C1,16,-0.05322265625
F06,2,C1,16,-0.0364990234375
F06,3,C1,16,0.10009765625
F06,4,C1,16,0.22412109375
F06,5,C1,16,0.45550537109375
F06,6,C1,16,0.39367687702178955
F06,7,C1,16,0.5574948787689209
F06,8,C1,16,0.932373046875
F06,9,C1,16,0.97998046875
F06,10,C1,16,0.44216811656951904
F06,11,C1,16,-0.34765589237213135
F06,12,C1,16,0.7255859375
F06,13,C1,16,0.2885739803314209
F06,14,C1,16,-0.2226564884185791
F06,15,C1,16,-0.2849884033203125
F06,16,C1,16,0.24023449420928955
F06,17,C1,16,2.113037109375
F06,18,C1,16,2.1419525146484375
F06,19,C1,16,1.82354736328125
F06,20,C1,16,2.1535338759422302
F06,21,C1,16,2.536457061767578
F06,22,C1,16,2.4711915850639343
F06,23,C1,16,3.6328125298023224
F06,24,C1,16,5.373046919703484
F06,25,C1,16,7.57031250372529
F06,26,C1,16,10.26953125
F06,27,C1,16,10.374999970197678
F06,28,C1,16,9.2421875
F06,29,C1,16,9.19140625372529
