family,group,left,right,anchor,layer,cosine_distance,rms_normalized_l2
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,0,0.0,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,1,0.0,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,2,1.1102230246251565e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,3,1.1102230246251565e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,4,0.0,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,5,0.0,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,6,0.0,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,7,-2.220446049250313e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,8,0.0,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,9,1.1102230246251565e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,10,0.0,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,11,1.1102230246251565e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,12,-2.220446049250313e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,13,-2.220446049250313e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,14,-2.220446049250313e-16,0.0
SAME_FACT_BACKGROUND,F01,AUX-RB-001,AUX-RB-002,COMMON_HEADER_END,15,-2.220446049250313e-16,0.0
