setting_id,candidate_id,token_position,self_logp,baseline_logp,delta
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,0,-0.0012566297082230449,-0.0014386551920324564,0.00018202548380941153
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,1,-9.536738616588991e-07,-4.768370445162873e-07,-4.7683681714261184e-07
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,2,-0.12692856788635254,-0.16022470593452454,0.033296138048172
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,3,-1.2375975847244263,-1.0765036344528198,-0.16109395027160645
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,4,-8.689979586051777e-05,-0.00010680581908673048,1.990602322621271e-05
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,5,-8.344646857949556e-07,-5.960462772236497e-07,-2.3841840857130592e-07
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,6,-0.0011948358733206987,-0.0009284476400353014,-0.0002663882332853973
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,7,0.0,0.0,0.0
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,8,-2.3841855067985307e-07,-5.960462772236497e-07,3.576277265437966e-07
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,9,-1.1920928244535389e-07,-1.1920928244535389e-07,0.0
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,10,-3.5523738915799186e-05,-3.5523738915799186e-05,0.0
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,11,-0.0010526598198339343,-0.001082311267964542,2.9651448130607605e-05
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,12,-4.768370445162873e-07,-5.960462772236497e-07,1.1920923270736239e-07
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,13,-3.9219088648678735e-05,-4.4225667807040736e-05,5.006579158362001e-06
SAME-F01-D0-L04-R2_END-SELF,AUX-RB-010-C0,14,-5.864924969500862e-05,-6.90197994117625e-05,1.0370549716753885e-05
